Description,Price,URL
"2021_EVGA GeForce RTX 3080 RTX3080 FTW3 Ultra Gaming Graphics Card, 10GB GDDR6X, iCX3 Technology, PCI Express 4.0, ARGB LED, Metal Backplate, w/ TiTac DisplayPort Male to HDMI Female Adapter","$2,699.99",https://www.amazon.com/2021_EVGA-Technology-Backplate-TiTac-DisplayPort/dp/B093KRRWP3/ref=sr_1_39?crid=320Y6M8VL6LF8&dchild=1&keywords=RTX+3080&qid=1619818821&sprefix=rtx+%2Caps%2C194&sr=8-39
"ASRock Challenger D Radeon RX 5600 XT OC Graphics Card, 6GB (14Gbps) 192-Bit GDDR6 PCIe 4.0 x16 AMD Eyefinity Technology 1x HDMI 2.0b 3X DisplayPort 1.4 w/ Mytrix HDMI 2.1 Cable(4k@120Hz/8K@60Hz)",$889.99,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg3_1?ie=UTF8&adId=A051433524SQXK9VRZQZL&url=%2FChallenger-Graphics-Eyefinity-Technology-DisplayPort%2Fdp%2FB08XZY2MS2%2Fref%3Dsr_1_44_sspa%3Fcrid%3D320Y6M8VL6LF8%26dchild%3D1%26keywords%3DRTX%2B3080%26qid%3D1619818821%26sprefix%3Drtx%2B%252Caps%252C194%26sr%3D8-44-spons%26psc%3D1&qualifier=1619818821&id=3595806153509172&widgetName=sp_mtf
"Newst 2021 GIGA Byte AORUS GeForce RTX 3070 Master 8G Graphics Card, 3X WINDFORCE Fans, 8GB 256-bit GDDR6, Video Card w/ AllyFlex HDMI Cable","$1,799.00",https://www.amazon.com/GeForce-Graphics-WINDFORCE-256-bit-AllyFlex/dp/B093CFFSMS/ref=sr_1_46?crid=320Y6M8VL6LF8&dchild=1&keywords=RTX+3080&qid=1619818821&sprefix=rtx+%2Caps%2C194&sr=8-46
"HP OEM Radeon RX 5700 GPU Optimized for Mining(ETH 52 MH/S, 105 W), Founders Edition Graphics Card, 8GB 256-Bit GDDR6, with Allyflex GPU Riser, Without Retail Box","$1,499.00",https://www.amazon.com/HP-RX-5700-Optimized-Founders/dp/B08XN57T4D/ref=sr_1_51?crid=320Y6M8VL6LF8&dchild=1&keywords=RTX+3080&qid=1619818821&sprefix=rtx+%2Caps%2C194&sr=8-51
2021 Newst MSI Gaming GeForce RTX 3080 10GB GDRR6X 320-Bit HDMI/DP Nvlink Torx Fan 3 Ampere Architecture OC Graphics Card (RTX 3080 Ventus 3X 10G OC) w/ AllyFlex HDMI,"$2,499.00",https://www.amazon.com/GeForce-320-Bit-Architecture-Graphics-AllyFlex/dp/B092KQD2J9/ref=sr_1_51?crid=320Y6M8VL6LF8&dchild=1&keywords=RTX+3080&qid=1619818825&sprefix=rtx+%2Caps%2C194&sr=8-51
Newest 2021 MSI Gaming GeForce RTX 3060 12GB 15 Gbps GDRR6 192-Bit HDMI/DP PCIe 4 Tri-Frozr Torx Fan Ampere RGB OC Graphics Card (RTX 3060 Gaming X Trio 12G) +AllyFlex HDMI,"$1,499.00",https://www.amazon.com/MSI-GeForce-RTX-3060-Tri-Frozr/dp/B092C7VF2C/ref=sr_1_67?crid=320Y6M8VL6LF8&dchild=1&keywords=RTX+3080&qid=1619818825&sprefix=rtx+%2Caps%2C194&sr=8-67
BTO NVIDIA GeForce GT 730 4GB VGA DVI HDMI PCI-E Video Graphics Card Dual Monitor Support for Desktop / Tower,$124.99,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg5_1?ie=UTF8&adId=A1029380DLWH4V5AUMDP&url=%2FBTO-GeForce-Graphics-Monitor-Support%2Fdp%2FB08GQ8RD18%2Fref%3Dsr_1_76_sspa%3Fcrid%3D320Y6M8VL6LF8%26dchild%3D1%26keywords%3DRTX%2B3080%26qid%3D1619818827%26sprefix%3Drtx%2B%252Caps%252C194%26sr%3D8-76-spons%26psc%3D1%26smid%3DA2L5GKX31VOMVD&qualifier=1619818827&id=733591126845168&widgetName=sp_mtf
2021 Newest MSI Gaming GeForce RTX 3070 8GB GDRR6 256-Bit HDMI/DP Tri-Frozr 2 TORX Fan 4.0 Ampere Architecture RGB OC Graphics Card (RTX 3070 Gaming X Trio) +AllyFlex HDMI,"$1,789.00",https://www.amazon.com/MSI-GeForce-RTX-3070-Architecture/dp/B092TYQ1FG/ref=sr_1_83?crid=320Y6M8VL6LF8&dchild=1&keywords=RTX+3080&qid=1619818827&sprefix=rtx+%2Caps%2C194&sr=8-83
"MSI Gaming GeForce GTX 1660 Super Gaming X OC Graphics Card, 6GB GDRR6, 192-bit HDMI/DP, DirectX 12, Dual Fan, VR Ready, DisplayPort x 3 (V1. 4)/ HDMI 2. 0B x 1 w/ Mytrix HDMI Cable",$888.00,https://www.amazon.com/GeForce-Graphics-192-bit-DirectX-DisplayPort/dp/B0913JPHDM/ref=sr_1_83?crid=320Y6M8VL6LF8&dchild=1&keywords=RTX+3080&qid=1619818829&sprefix=rtx+%2Caps%2C194&sr=8-83
"EVGA GeForce GTX 1080 Ti FTW3 Gaming, 11GB GDDR5X, iCX Technology - 9 Thermal Sensors & RGB LED G/P/M, 3X Async Fan Control, Optimized Airflow Design Graphics Card 11G-P4-6696-KR (Renewed)","$1,199.99",https://www.amazon.com/EVGA-GeForce-Gaming-GDDR5X-Technology/dp/B07QGGCR85/ref=sr_1_84?crid=320Y6M8VL6LF8&dchild=1&keywords=RTX+3080&qid=1619818829&sprefix=rtx+%2Caps%2C194&sr=8-84
